作者,看板,標題,時間,分數,內容
ohyesforfun (男哥哥),movie,[討論] 想到幫現在蜘蛛人解套的方式,Wed Aug 21 15:12:53 2019,8,"
蜘蛛人現在為了錢或是其他利益攤位攏???????


那何不在創一個新角色

不要蜘蛛人可以啊

安排彼特接任鋼鐵人移除自己蜘蛛人基因

直接變成新一代鋼鐵人

不然再想一個一樣有八隻腳會噴東西的


像是被章魚咬到變成章魚人

配色又非常符合鋼鐵人戰甲

直接變成八爪博士豈不是更能登上大雅之堂

蜘蛛基因就讓他去了吧

不然還有一個更妙的處理方式

蜘蛛人被其他平行宇宙的加菲貓章魚博士替換了

在合約談好之前都由加菲貓代替蜘蛛人出征

談好後再握手回到各自的宇宙







--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.83.243.93 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566371575.A.5A7.html
※ 編輯: ohyesforfun (111.83.243.93 臺灣), 08/21/2019 15:14:05
"
tim200513 (瞧不起肥宅的胖子),movie,Re: [討論] 駭客任務4確定2020年開拍,Wed Aug 21 15:43:47 2019,7,"
看到基努回歸固然開心
但說實在的我對這續集沒有一絲的期待更擔心一個經典會就此殞落

駭客任務系列目前來看已經夠完整夠好看了
雖然我覺得2.3集講的東西已經開始有點虛無縹緲了
但第一集真的是有內涵深度又有動作場面的經典

而這次續集雖然這世界觀很好掰
但導演從兄弟變兄妹再變姐妹
近期作品可說是每況愈下
都能稱為該年最差的那種了...
到了這集更只剩下姐姐一人來拍了

為了基努還是會進場看啦
只是實在不看好...
-----
Sent from JPTT on my iPhone

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.232.45.187 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566373429.A.A6B.html
"
shiuichi (三隻魚閃鏢),movie,[討論] 荷蘭弟版蜘蛛人會有續集嗎,Wed Aug 21 15:52:27 2019,13,"
記得沒錯的話，荷蘭弟是簽下了六部電影合約，目前已經拍了五部：
美隊3英雄內戰
返校日
復3
復4
離家日

如果索尼跟迪士尼談判真的破裂，KF回本家不再幫忙製作後面的MCU蜘蛛人，那荷蘭弟版
本的蜘蛛人還會有合約上的最後一部嗎？切割MCU直接拍，還是又直接重啟？

是說荷蘭弟之前太嘴最後嘴到自己了XDDDD
https://i.imgur.com/JegPmPx.jpg

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.140.170.186 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566373949.A.8E1.html
"
BleedWang (),movie,[討論] 新宇宙,Wed Aug 21 16:04:05 2019,25,"

有人說索尼新宇宙拍得好

所以沒迪士尼沒關係

但是不要忘了 新宇宙的反派

金霸王的版權現在是在迪士尼身上

而且黑蜘蛛人和蜘蛛關

都是索尼買斷版權 10幾年之後才出現的角色

理論上 索尼應該不能用這些角色

但是新宇宙卻出現了這些角色

可見得這兩家合作的非常非常密切

所以現在的事件 應該是兩家公司炒新聞

只是在吊影迷胃口 實際上早就談好了

過幾天就會宣佈合約談成功的消息



-----
Sent from JPTT on my OPPO CPH1707.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.50.139.61 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566374647.A.8BD.html


猛毒1988年就出現了 那是在買斷版權之前
索尼本來就能用
※ 編輯: BleedWang (110.50.139.61 臺灣), 08/21/2019 16:09:13
"
qpr322 (龍魚),movie,[情報] 2020 韓國奧斯卡代表：《寄生上流》,Wed Aug 21 16:27:08 2019,27,"

根據消息指出，韓國的「映畫振興委員會」已經選定《寄生上流》為今年韓國申報奧斯卡
「最佳國際電影」的代表作品。

https://i.imgur.com/R9LjOnq.jpg

《寄生上流》為導演奉俊昊今年在坎城影展拿下最大獎「金棕櫚獎」的作品，也將成為他
第二部代表韓國出征奧斯卡的作品，上一部為 2009 年的《非常母親》。當時在坎城影展
由《鳥人》導演 Alejandro González Iñárritu 領軍的評審團表示這是全員一致毫無
疑問的金棕櫚獎得主。

《寄生上流》描述一家四口全是無業遊民的爸爸基澤（宋康昊 飾）成天遊手好閒，直到
積極向上的長子基宇（崔宇植 飾）靠著假文憑成功應徵上有錢人朴社長（李善均 飾）家
的家教，才讓苟且偷生的一家人彷彿看到一線生機，紛紛用盡詭計想以無孔不入的方式共
享上流人的生活，但他們需索無度的貪欲卻讓情況逐漸失控……。（取自開眼）

時光網的新聞中指出映振興委員會表示：「考慮到該片作為已經在坎城影展獲獎，並在許
多電影節獲得矚目的世界性話題作品，且導演具有很高知名度，以及它足夠代表當下韓國
電影的藝術性，技術性，同時考慮到美國發行公司的積極助力，最終選定該片。」

而目前《寄生上流》在多國上映都已經開出票房好成績，再加上坎城影展金獎的加持，要
挺入奧斯卡五強並非難事。

此外，《寄生上流》在美國的發行公司為 Neon，雖然是一家新公司，但近年已有成功操
作《老娘叫譚雅》挺進奧斯卡的成績，也是和 A24相匹敵備受外界看好的新銳公司之一。
目前美國排定 10 月 11 日上映。

※      美國版預告：https://youtu.be/isOGD_7hNIY

韓國在 1962 年開始申報奧斯卡最佳國際電影，至今已經報名過 30 次，但從未有電影進
入最終五強中，而今年的《燃燒烈愛》為韓國首次進入短名單的作品。

近十年韓國申報電影為：

2018：《燃燒烈愛》
2017：《我只是個計程車司機》
2016：《密探》
2015：《逆倫王朝》
2014：《海霧》
2013：《讓愛從心開始》
2012：《聖殤》
2011：《高地戰》
2010：《赤腳夢想》
2009：《非常母親》
2008：《北逃》

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 59.127.164.178 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566376030.A.D5A.html
※ 編輯: qpr322 (59.127.164.178 臺灣), 08/21/2019 16:28:10
完全忘了XD...，已修改
※ 編輯: qpr322 (59.127.164.178 臺灣), 08/21/2019 16:34:59
"
jeanvanjohn (尚市長),movie,Re: [閒聊] 關於押井守,Wed Aug 21 16:31:55 2019,0,"
※ 引述《Tosca ( )》之銘言：
: 總之 押井守一開始救了福星小子
: 也該有點功勞吧
: 怎麼就直接跳過從機動警察開始講?!

我沒有說早年的押井守不棒啊，事實上我很喜歡""黑色三連星""，
更喜歡""祖先萬萬歲""(特別喜歡玄田哲章先生演的室戶文明)，
但是這些都沒有機動警察被篡奪這件事讓我來的心痛；

畢竟當年高田明美老師來台灣，所有人都是拿巧克力甜甜跟阿圓給她簽，
只有我一個人抱著野明的畫像去找老師簽書，
所以我絕對、絕對無法接受有人刻意把""泉 野明""竄改成""泉野 明""這種事!!!!!!

(更過分的是，押井守本來打算把竄改的泉野 明改成男性，後來被片商擋掉了，
所以真人版的偽泉野 明仍然是女性。)

我想，機動警察對Headgear的其他人來說，應該也都是個難以磨滅的回憶，
要不然他們為什麼要去庵野那裏，重拍""沒有押井守的機動警察""?

再補一個趣味小八卦(跟竄改無關了):

押井守曾經把茨城縣的大洗畫成一個""狗不生蛋鳥不拉屎的地方""，
從此這個又老又窮的印象就跟了大洗幾十年，
直到幾年前有個叫水島努的人以大洗為舞台，拍了個經典的動畫""少女與戰車""，
大洗才一夕之間鹹魚翻身，要不然他們可能會被押井守害一輩子:)

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.184.32.12 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566376317.A.C52.html
※ 編輯: jeanvanjohn (111.184.32.12 臺灣), 08/21/2019 16:44:55
"
arsl400 (dark hatter),movie,[討論] 全面攻佔:天使救援 爛番茄開盤預估,Wed Aug 21 16:49:06 2019,31,"
https://www.rottentomatoes.com/

只有首頁看的到分數，60分
目前影評數量還不夠多
附帶一提，這是整個系列最高的分數

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.204.32.162 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566377348.A.428.html
"
hvariables (Speculative Male),movie,[新聞] 航海王導演大塚隆史 親筆寫下我愛臺灣,Wed Aug 21 17:15:20 2019,11,"
https://ent.ltn.com.tw/news/paper/1312007

航海王導演大塚隆史 親筆寫下我愛臺灣

2019/08/21 05:30

https://img.ltn.com.tw/Upload/ent/page/800/2019/08/21/46.jpg
導演大塚隆史親筆寫下「期待新的航海王電影來臺灣」（双喜提供）

〔記者吳琬婷／綜合報導〕航海王20週年紀念電影《航海王：奪寶爭霸戰》挾帶日本上映
10日吸金近9億台幣的票房佳績襲台，不只原作畫家尾田榮一郎上映前，親自提筆留言保
證好看外，連動畫版導演大塚隆史也在簽名版畫了魯夫，更在上面親筆寫下「我愛臺灣」
、「期待新的航海王電影來臺灣」，向台灣粉絲熱情喊話。

尾田榮一郎的連載漫畫《航海王》，是金氏世界紀錄「單一作家漫畫系列作品出版最多」
的世界紀錄保持者，創作發行量統計至2019年3月，在全球已經達到4.5億冊。而尾田榮一
郎不僅為20週年紀念電影擔任創意總監，更為新片設計新角色巴列德和費斯塔，令粉絲期
待。該片今在台上映。

--
http://mbscnn.org/NewsList.aspx?CLASS=221
上座部佛教馬哈希尊者帝釋所問經講記77頁拆穿假佛法大乘的騙局。
馬哈希尊者毗婆舍那講記(含法的醫療)說明如何修四念處增加智慧斷除所有煩惱。
https://santi4u.blogspot.com/  PTMC 馬哈希寂靜禪園
妙法蓮華經、華嚴經、心經、金剛經、梵網經(菩薩戒)、圓覺經、楞嚴經是大乘假佛經。
阿彌陀佛 藥師佛 大日如來是大乘假佛 觀世音 維摩詰 龍樹 地藏王是大乘假菩薩

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.137.163.147 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566378923.A.92F.html
"
lpbrother (LP哥(LP = Love & Peace)),movie,[新聞] 等了16年！《駭客任務4》確定開拍「基努,Wed Aug 21 17:30:25 2019,14,"
新聞網址： https://star.ettoday.net/news/1517810

等了16年！《駭客任務4》確定開拍「基努李維回歸」

2019年08月21日 12:17

記者洪文／綜合報導

等了16年！《駭客任務4》確定開拍，導演華卓斯基姊妹再度回鍋執導，兩位主角基努李
維（Keanu Reeves）、凱莉安摩絲（Carrie-Anne Moss）確定回歸演出。時值《駭客任務
》20周年之際，別具意義，粉絲都相當期待。

根據權威媒體《綜藝報》（Variety）報導，華納兄弟、威秀影業（Village Roadshow
Pictures）確定製作並發行《駭客任務4》，華納兄弟主席托比艾默瑞奇（Toby Emmerich
）表示：「我們非常興奮拉娜華卓斯基回歸，她是非常有遠見的人，正在編寫《駭客任務
》電影世界新的篇章。」消息人士指出，該片預計2020年開拍。

《駭客任務》3部曲全球票房共計16億美金，幕後推手便是導演華卓斯基姊妹（原為兄弟
檔，後來相繼變性），導演之一拉娜華卓斯基表示：「莉莉與我在20年討論過很多想法，
現在更接近現實，我很高興能把這些人物帶回我的生活中，很感謝有機會再度與有才華的
朋友們一起工作。」

華納兄弟多年來希望推出《駭客任務4》，未料諸多原因計畫延宕已久。據傳，基努李維
在2019年的票房表現，促使華納兄弟再度推動第4集籌備的最大轉機。他靠著《捍衛任務3
：全面開戰》創下系列作品最高票房，又以擔任配音的《玩具總動員4》開出票房紅盤，
票房實力不容小覷。



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 59.125.244.23 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566379827.A.F96.html
"
Kevinsun (阿肥),movie,[討論] 007片名怎翻譯,Wed Aug 21 17:45:36 2019,102,"
如題

今天新聞報導007的片名
（丹尼爾最後一部）

No Time to Die

意思就沒時間去死

很智障又炫炮的超直接片名

但中文片名怎翻？

說真的其中一集skyfall真的翻很爛

其實skyfall在劇情裡是莊園名稱

台片卻翻空降危機

結果劇情也沒有相關內容

我目前只有想到

時不我死之類的翻譯

各位大大認為呢？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.214.148.201 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566380738.A.E32.html
應該說片名炫卻不相關
※ 編輯: Kevinsun (49.214.148.201 臺灣), 08/21/2019 17:50:55
接地氣很讚
不要以為我不知道你在講那集XD
我笑了
要換了啦！
※ 編輯: Kevinsun (49.214.148.201 臺灣), 08/21/2019 18:00:38
這很台客
戴普表示.....
感覺Ok?
跟我很像
痾.....
但很炫炮
雙關不錯（新片劇情也類似）
很有驚悚片的feeling
噓你神鬼XX
what?
跟劇情？？
沒看過那麼長的副片名
已經預告會繼續出了！
他最後的演出接下來換人
？
一直危機是要？
好 很好 非常好
所以你啥時要喝
雙關不錯
但skyfall是莊園欸...
007之九品芝麻官？
也許喔
某英雄電影？
Die another day表示.....
蝦餃？
聽說他會客串後面的續集
台語片名有點...
※ 編輯: Kevinsun (49.214.148.201 臺灣), 08/21/2019 22:43:43
"
fightclubgf (streetfighter!!!!),movie,Re: [閒聊] 關於押井守,Wed Aug 21 17:52:02 2019,2,"
※ 引述《jeanvanjohn (尚市長)》之銘言：
: ※ 引述《Tosca ( )》之銘言：
: : 總之 押井守一開始救了福星小子
: : 也該有點功勞吧
: : 怎麼就直接跳過從機動警察開始講?!
: 我沒有說早年的押井守不棒啊，事實上我很喜歡""黑色三連星""，
: 更喜歡""祖先萬萬歲""(特別喜歡玄田哲章先生演的室戶文明)，
: 但是這些都沒有機動警察被篡奪這件事讓我來的心痛；
: 畢竟當年高田明美老師來台灣，所有人都是拿巧克力甜甜跟阿圓給她簽，
: 只有我一個人抱著野明的畫像去找老師簽書，
: 所以我絕對、絕對無法接受有人刻意把""泉 野明""竄改成""泉野 明""這種事!!!!!!
: (更過分的是，押井守本來打算把竄改的泉野 明改成男性，後來被片商擋掉了，
: 所以真人版的偽泉野 明仍然是女性。)
: 我想，機動警察對Headgear的其他人來說，應該也都是個難以磨滅的回憶，
: 要不然他們為什麼要去庵野那裏，重拍""沒有押井守的機動警察""?
: 再補一個趣味小八卦(跟竄改無關了):
: 押井守曾經把茨城縣的大洗畫成一個""狗不生蛋鳥不拉屎的地方""，
: 從此這個又老又窮的印象就跟了大洗幾十年，
: 直到幾年前有個叫水島努的人以大洗為舞台，拍了個經典的動畫""少女與戰車""，
: 大洗才一夕之間鹹魚翻身，要不然他們可能會被押井守害一輩子:)

那個機動警察真人版 應該算是重開機或平行世界之類的
不能算竄改吧
當初只看了一集感覺不太好看，
後來也忘了有這件事，就沒再看了
剛看了討論，才想起來還有這件事...

我覺得押井守不太擅長拍真人版的電影
不只是他，一些動畫導演拍真人電影畫面都怪怪的
分鏡和動作都有點問題，
像庵野秀明也拍過好幾部真人電影，也有一樣的問題
有些動作和分鏡像違反物理、方向不連貫...，在動畫上可能成立，
但套在真人就是怪

還有押井守應該也比較不擅長自己創作角色，
所以常拿別的作品的角色或設定講自己的故事
也有可能是因為他講的故事都比較不討喜的

如果全部自己創作 會沒有人買單
但如果是拿其他作品來改的話，有基本的觀眾群，風險會小很多

他執導福星小子TV時就常常這樣玩了
雖然是很多惡搞，不過我還蠻喜歡的
他拍的福星小子電影版第二集是系列評價最高
不過因為大改原作，讓高橋留美子很不滿，
可能是這樣，後來的幾部劇場版導演都不是他了


茨城縣大洗是那一部，完全沒印象
我猜應該是早期的作品吧
動畫的事應該沒有幾個人信以為真吧
而且他的作品都是架空或近未來的
就算有描寫到某地方與事實不符
也不應該有這個影響力 造就這個偏見吧

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 122.116.234.202 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566381124.A.516.html
"
littlejackbr (liljb),movie,Re: [討論] 談判破局！ 蜘蛛人退出漫威宇宙！,Wed Aug 21 12:45:27 2019,4,"
沒差啦～～～～

漫威現在都開掛角色，
雷神最終進化+女武神+女雷神，
驚隊、奇異、女巫三個外掛角，
智力、暴力擔當浩克，
科技、財力擔當黑豹(附加祖靈庇佑)，
半人半神星爵(神的部分都還沒用到)，
x戰警、驚奇四超人一堆變種。

我還真不知道蜘蛛人在復仇者聯盟5或6要幹嘛？
在裡面除了賣萌，
戰鬥的時候只能盪來盪去裝忙跑龍套，
沒戰鬥力就算了，
還要顧及他會不會被秒，
只會讓大決戰的力量表現侷限了。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.14.195.95 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566362729.A.F0D.html
"
willy891017 (其實也還好啊),movie,Re: [討論]我知道怎麼幫漫威解套了!,Wed Aug 21 12:50:40 2019,5,"
※ 引述《area41gold (area41gold在炫耀？哥單s)》之銘言：
: 剛好想到
: 漫威跟sony如此這般分裂
: 此時蜘蛛人處於很尷尬的局面
: 不如讓劇情就是蜘蛛人進化怎樣
: 變成某某人
: 這樣可以創造新英雄或是如何
: 讓蜘蛛人正式退場
: 如何
: -----
: Sent from JPTT on my Samsung SM-N960F.
如果最後是加菲3,4集續拍，
跟猛毒宇宙合體，
荷蘭版的歸MCU，
米老鼠別死要錢退回去拿5%
這樣應該比較好
因為我還想看加菲版3,4集阿QQ

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.32.145.188 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566363042.A.A32.html
※ 編輯: willy891017 (114.32.145.188 臺灣), 08/21/2019 12:51:06
"
dailon (幻變騷靈),movie,[普負雷] 海賊王：奪寶爭奪戰,Wed Aug 21 13:02:47 2019,9,"
雷文防雷資訊頁


趁著早場衝一波

看完以後發個廢文

給想看但是還沒看的鄉民們一個參考

以下有雷

原則上這次的海賊王動畫

個人評價是中下

十分不推薦

除非你想要電影套餐


~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

這次最大的敗筆在於劇情

1.劇情太簡單-巴雷特敗筆

雖然海賊王可以無腦看

但是這麼無腦的劇情還是頭一遭

開頭的大監獄還可以

但是前期沒有鋪墊反派的過去時就很難入戲

尤其是當你要塑造一個超強的反派時

沒有適時的穿插回憶講述一下反派的歷史

他的強大沒有一個指標對比，

就讓一個新角色可以直接打趴所有人

這實在是很難讓人認同這個反派的出現

尤其是合體果實的能力沒有講清楚

就覺得很WTF

———————————————————

2.小寶箱bug

這個東西不吐槽不行

到底哪來的點子看到一個小舊寶箱

就認為大獎在裡面

就最好這個寶箱沒有被埋在金幣堆裡

或是有一堆的小寶箱

然後一群海賊就這樣子無條件相信那個寶箱

有點黑人問號？？？？？

————————————————————

3.祭典師是三小

實在無法理解這個角色的存在

不是搞笑擔當，也不是戰鬥役

因為曾經辦祭典被羅傑破壞以後

所以也想搞復仇，想要用挑起戰爭毀滅世界

蛤？？？？？？？？

這個邏輯我覺得不行

比起上ㄧ部的gold反派更難讓人認同

————————————————————

4.畫風改變

其實畫風改變的部分還滿容易看出來的

這部分我不會說是好是壞

全憑觀看者的感受

————————————————————

總結來說

劇情完全是熱血打鬥

完全沒有鋪陳，也沒有讓人感動的地方

實在是一大敗筆

過去海賊王被人說劇情拖

但是有感動的點

就還是有追下去的動力

但是這一次的電影，我覺得不行

就連前兩部的Z和Gold 都有令人感動的過去

所以我只想知道尾田這一次對於劇情的想法是

三小

就這樣

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.83.198.55 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566363769.A.459.html
"
kyle5241 (Kyle Korver),movie,Re: [討論] 用“蜘蛛人突然暴斃了”來交代劇情好嗎？,Wed Aug 21 13:07:53 2019,6,"
呃....

你們是不是都忘了

現在全世界都知道蜘蛛人的身份了

而且還知道他是一個壞蛋

要怎麼消失？


我建議這樣演啦～

在蜘蛛人的身份被公布後

全世界像蜘蛛人發佈了通輯了


蜘蛛人逃到哪都被追殺

可是他很善良不敢傷害人

最後他來到了紐約

因為意外救了一隻狗


突然有一個滿臉鬍子的人站在蜘蛛人背後說：


彼得～你憤怒嗎？

你想不想向高層復仇～

蜘蛛人轉身說：想！

猛毒也跳下來說：算我一份！



蜘蛛人3：捍衛家園


※ 引述《va1kyrie (123)》之銘言：
: 蜘蛛人離開漫威
: 但在漫威劇情裡 蜘蛛人是鋼鐵人的接班人
: 是核心腳色 不可能無聲無息的消失
: 我在想到時候復5的劇情裡
: 可以安排一段簡短的對話
: 像是黑豹突然問奇異博士
: “那個會放蜘蛛絲 飛來飛去的小鬼怎麼不見了?
: 然後奇異博士回:“突然暴斃了”
: 這樣來帶過就好了
: 各位覺得呢？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 131.215.107.226 (美國)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566364075.A.999.html
※ 編輯: kyle5241 (131.215.107.226 美國), 08/21/2019 13:08:12
※ 編輯: kyle5241 (131.215.107.226 美國), 08/21/2019 13:11:42
※ 編輯: kyle5241 (131.215.107.226 美國), 08/21/2019 13:43:15
"
CYKONGG (CYKONGG),movie,[分享]《蜘蛛人》公開多張概念圖 原有鋼鐵軍團,Wed Aug 21 13:10:54 2019,-1,"
《蜘蛛人：離家日》官方公開34張概念圖　原先會惡鬥鋼鐵軍團

https://i.imgur.com/tnn493m.jpg
漫威電影宇宙第3階段收官作品《蜘蛛人：離家日》（Spider-Man: Far From Home）氣勢
如虹，電影全球票房除了衝破11億美元外，還將新增從未曝光片段後重新上映，相信全球
票房仍有上升空間。

日前Marvel Studios乘勢追擊，公開了34張電影概念圖，當中最為影迷注目的想必是蜘蛛
人與喪屍鋼鐵軍團戰鬥的畫面。




由Tom Holland及Jake Gyllenhaal主演的《蜘蛛人：離家日》叫好叫座，目前全球票房累
計超過11億美元收入，成為首部衝破10億美元大關的《蜘蛛人》電影，還成為Sony影業史
上最高票房的電影，可喜可賀。


日前為電影《蜘蛛人：離家日》設計概念圖的Marvel視覺特效設計師Henrik Tamm，在其I
nstagram上傳了多達34張電影概念圖，其中數張沒有採用的概念圖成為影迷焦點。從該照
片可以見到，當時鋼鐵人正在追殺蜘蛛人，迫使他立即逃離Midtown High School。除此
之外，影迷重見多張電影曾採用的概念圖，當中最深刻相信是喪屍鋼鐵人從墳墓中爬出的
畫面。



這批概念圖的構思確實非常瘋狂，難怪《蜘蛛人：離家日》導演Jon Watts曾表示：「我
們為這集構想了很多瘋狂的想法，因為當你在神秘法師的世界，你可以做任何你想做的事
情。」

https://i.imgur.com/Pv5iHRB.jpg
https://i.imgur.com/VnjBmmD.jpg
▲蜘蛛人與水元素決戰。

https://i.imgur.com/BP3TBmA.jpg
▲蜘蛛人與熔岩怪戰鬥。

https://i.imgur.com/CXK22ni.jpg

https://i.imgur.com/p4fEOSH.jpg

https://i.imgur.com/ySsRkbo.jpg
▲原來喪屍鋼鐵人不只一個，還整隊一起追捕蜘蛛人。

https://i.imgur.com/BWMpuQT.jpg

▲如蟻人般巨大化的喪屍鋼鐵人。

https://i.imgur.com/PCZF7Su.jpg

https://i.imgur.com/ZYo7EpJ.jpg
▲預告中也有出現的畫面。

https://i.imgur.com/TNzwzgY.jpg

https://i.imgur.com/dUOvlIo.jpg
▲蜘蛛人與製造災難幻象的無人機戰鬥概念圖。

https://i.imgur.com/aw2q7PZ.jpg

https://i.imgur.com/OrcBF6C.jpg
▲神秘客的世界真是無奇不有。


https://i.imgur.com/ntkkTFq.jpg
▲蜘蛛人在幻象中遇見巨型蜘蛛（蚊子？）。

https://i.imgur.com/2tSZZ8i.jpg

https://i.imgur.com/lCAEWdz.jpg

https://i.imgur.com/yOI1xhl.jpg
▲蜘蛛人與神秘客決戰，這幕到底是真是假？

https://i.imgur.com/h6Kc0HN.jpg
▲Peter與MJ在這集前進了一大步。

https://i.imgur.com/OVMPhl4.jpg
▲蜘蛛人與其他基地成員見面。

https://i.imgur.com/Kt758a6.jpg

https://i.imgur.com/gAcCoEi.jpg

https://i.imgur.com/uO9iEae.jpg
▲蜘蛛人在倫敦決戰的畫面。


https://i.imgur.com/FAXPieR.jpg
▲神秘客與元素眾戰鬥概念圖。


https://i.imgur.com/TkX5kWE.jpg

https://i.imgur.com/tuG70Hn.jpg
▲火元素襲擊與被擊敗。




整理自：IG、https://reurl.cc/AEMGp

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.9.180.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566364257.A.BF9.html
※ 編輯: CYKONGG (101.9.180.155 臺灣), 08/21/2019 21:10:04
"
look1225 (oh),movie,[討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 13:15:54 2019,-3,"
蜘蛛人的劇情
怎麼想都已經枯燥乏味了 還要發一些反派梗嗎＝＝？
當初那三部曲有多爛大家都知道

難道要做一些 地風水火毒之類的敵人 現在拍成這樣也沒人要看了拉
現在蜘蛛人就是受到鋼鐵人的光  那個互動讓影迷很深刻才會著迷 還有漫威龐大的背景

而且英雄片迪士尼獨家當道ＤＣ都拍不起來了
sony還能怎麼樣？
可以看得出ＳＯＮＹ見獵心喜品牌風頭從新回來了 又想自己貪幾口

日本人很小心眼的＝＝

--
  我巢吹了...    ╱▇▇╲            ◢加  ◣ 小姐 ~ 小姐 ~ 你怎麼了？
                │▁▁▁│           ▄◢ ▅
                │█▽█│           ◆◣▃ ◤
│╳╳╳│     ╱◣ ◢╲       ◣◣◥|\\  ◣
╲╳╳╱     │     │     ◣ ◣|\\◤   by francistiger

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.137.194.117 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566364558.A.B55.html
※ 編輯: look1225 (114.137.194.117 臺灣), 08/21/2019 13:19:33
爛透了 嘔嘔嘔嘔嘔
※ 編輯: look1225 (114.137.194.117 臺灣), 08/21/2019 13:24:36
"
Sischill (Believe or not),movie,[討論] 蜘蛛人跟MCU沒人覺得各作各的比較好嘛?,Wed Aug 21 13:25:03 2019,6,"
現在大家在談蜘蛛人怎樣 誰需要誰 我覺得蠻奇怪的

小蜘蛛在自己的漫畫很紅 自己做就可以獨當一面

而在復仇者聯盟出現的大事件之中小蜘蛛幾乎沒啥出場空間(漫畫裡內戰還被婊死)

以MCU現在的戰力規模跟之後預計 只會越加越大 小蜘蛛進復聯電影也只是跑龍套

下一階段如果復仇者要挑新BOSS也是無限手套相同水準的多元宇宙

以反派來說

多瑪暮(黑暗位面最強)

吞星(雖然他是戰力單位但光他手下銀色衝鋒手就能打爆沒無限手套的薩諾斯)

梅菲斯特(最強惡魔)

神符

天神族

還有很多預備軍都是無限手套薩諾斯同級 甚至更強


而小蜘蛛的戰力並不像其他漫威英雄有很大幅度提昇

像浩克可能還會因為什麼事件變成

如果未來把X-MEN組跟F4加進來 甚至GR/哨兵   那小蜘蛛重要性就更低了



這樣來看SONY收回小蜘蛛拍自己的 還能跟VENOM連動(雙人打carnage之類)

MCU也自己搞自己的下一階段

反而是比較好的事吧?


頂多只是不能一些小蜘蛛裡有財有權腦子又很強的帶進來MCU(如綠惡魔 八爪)

不過反正本來漫威裡就有很多錢/頭腦/能力都很強的反派

(莫名其妙被魔改的滿大人 F4的dr.doom)

所以我蠻支持分家的 這樣也不用看蜘蛛人硬要接什麼鋼鐵人的位置搞的不三不四

而且蜘蛛人在MCU這裡等於永遠不能跟VENOM互打/互相支援

反倒回SONY那裡還比較好.... 而MCU這裡也能把戰力再通膨上去...

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.160.1.144 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566365105.A.334.html
"
